source_file,system_zh,olive_brand,adulterant,round,ratio,olive_fraction_pct,adulteration_pct,adulteration_class,eem_mean,eem_max,eem_std,eem_total,blue_430_480_mean,blue_430_480_max,green_500_560_mean,green_500_560_max,red_600_640_mean,red_600_640_max,uv_red_600_640_mean,uv_blue_430_480_mean,visible_430_640_total,red_blue_ratio,red_green_ratio,green_blue_ratio,red_visible_fraction
data/伯爵特级初榨混西王玉米胚芽油/第一轮/10：1/0_RM.dat,伯爵特级初榨混西王玉米胚芽油,borges_evoo,corn_germ_oil,1,10:1,90.9091,9.0909,pure_evoo_proxy,335.3788757324219,8600.9404296875,971.720458984375,3169330.5,175.10244750976562,5191.58984375,229.2521209716797,4734.830078125,173.88259887695312,3515.919921875,0.0,0.0,1036030.9375,0.9930335089931969,0.7584775982943069,1.3092456611701468,0.22657769329380997
data/伯爵特级初榨混西王玉米胚芽油/第一轮/1：10/0_RM.dat,伯爵特级初榨混西王玉米胚芽油,borges_evoo,corn_germ_oil,1,1:10,9.0909,90.9091,heavy_adulteration,197.92637634277344,5196.169921875,540.4364624023438,1870404.25,115.88729095458984,1779.56005859375,41.94422912597656,715.9130249023438,22.51105308532715,440.43701171875,0.0,0.0,320849.3125,0.19424953940720308,0.5366901005863447,0.36193985050934063,0.09471711701082508
data/伯爵特级初榨混西王玉米胚芽油/第一轮/2：9/0_RM.dat,伯爵特级初榨混西王玉米胚芽油,borges_evoo,corn_germ_oil,1,2:9,18.1818,81.8182,heavy_adulteration,223.0585479736328,6882.5498046875,620.7057495117188,2107903.25,134.39747619628906,3465.919921875,65.4001235961914,1500.8800048828125,41.47605514526367,935.5969848632812,0.0,0.0,427020.375,0.30860739360968376,0.6341892374266064,0.4866171966953946,0.131124122297136
data/伯爵特级初榨混西王玉米胚芽油/第一轮/3：8/0_RM.dat,伯爵特级初榨混西王玉米胚芽油,borges_evoo,corn_germ_oil,1,3:8,27.2727,72.7273,heavy_adulteration,239.32791137695312,7325.2001953125,669.529296875,2261648.75,150.4654541015625,4446.6201171875,92.47698974609375,2059.260009765625,59.95813751220703,1311.1300048828125,0.0,0.0,539674.5,0.39848440608334956,0.6483573592573857,0.6146061212766267,0.14998574951169644
data/伯爵特级初榨混西王玉米胚芽油/第一轮/4：7/0_RM.dat,伯爵特级初榨混西王玉米胚芽油,borges_evoo,corn_germ_oil,1,4:7,36.3636,63.6364,heavy_adulteration,255.98114013671875,7841.39013671875,730.2937622070312,2419021.75,164.43240356445312,5184.1201171875,114.24522399902344,2629.18994140625,76.0574722290039,1702.06005859375,0.0,0.0,631747.375,0.4625455209419589,0.6657387407627238,0.6947853393109164,0.16252950150736672
data/伯爵特级初榨混西王玉米胚芽油/第一轮/5：6/0_RM.dat,伯爵特级初榨混西王玉米胚芽油,borges_evoo,corn_germ_oil,1,5:6,45.4545,54.5455,heavy_adulteration,271.9667663574219,8434.51953125,785.8931884765625,2570086.0,172.6217803955078,5190.33984375,142.3994598388672,3185.18994140625,98.77970123291016,2146.860107421875,0.0,0.0,739300.5,0.5722319653658766,0.693680303640228,0.8249217374984922,0.1803767125138149
data/伯爵特级初榨混西王玉米胚芽油/第一轮/6：5/0_RM.dat,伯爵特级初榨混西王玉米胚芽油,borges_evoo,corn_germ_oil,1,6:5,54.5455,45.4545,light_adulteration,281.31744384765625,8556.58984375,823.5931396484375,2658449.75,175.400634765625,5193.169921875,159.62733459472656,3558.830078125,112.63636779785156,2413.6298828125,0.0,0.0,800341.25,0.642166245898671,0.7056207972036878,0.9100727252096444,0.18999282337354223
data/伯爵特级初榨混西王玉米胚芽油/第一轮/7：4/0_RM.dat,伯爵特级初榨混西王玉米胚芽油,borges_evoo,corn_germ_oil,1,7:4,63.6364,36.3636,light_adulteration,287.5489501953125,8568.6103515625,851.2409057617188,2717337.5,174.71209716796875,5188.31005859375,175.06028747558594,3858.56005859375,126.44879913330078,2682.64990234375,0.0,0.0,851161.5,0.723755254840638,0.7223157246821026,1.0019929318648697,0.20055638677242738
data/伯爵特级初榨混西王玉米胚芽油/第一轮/8：3/0_RM.dat,伯爵特级初榨混西王玉米胚芽油,borges_evoo,corn_germ_oil,1,8:3,72.7273,27.2727,light_adulteration,301.0783996582031,8587.7900390625,894.8790283203125,2845191.0,173.4951934814453,5194.669921875,197.74903869628906,4236.72998046875,146.68417358398438,3038.9599609375,0.0,0.0,926663.75,0.8454653399617459,0.7417693345528648,1.139795481294657,0.21369523195418652
data/伯爵特级初榨混西王玉米胚芽油/第一轮/9：2/0_RM.dat,伯爵特级初榨混西王玉米胚芽油,borges_evoo,corn_germ_oil,1,9:2,81.8182,18.1818,light_adulteration,312.3194580078125,8585.23046875,924.9324951171875,2951419.0,173.01600646972656,5199.31982421875,208.5612030029297,4429.68994140625,157.05398559570312,3231.669921875,0.0,0.0,964567.875,0.9077425140745061,0.7530354763079378,1.2054445484729073,0.2198112548583273
data/伯爵特级初榨混西王玉米胚芽油/第三轮/10：1/0_RM.dat,伯爵特级初榨混西王玉米胚芽油,borges_evoo,corn_germ_oil,3,10:1,90.9091,9.0909,pure_evoo_proxy,333.93994140625,8610.490234375,970.04296875,3155732.5,174.9280548095703,5197.759765625,229.92135620117188,4758.2001953125,175.4514923095703,3542.639892578125,0.0,0.0,1039533.875,1.0029922958760247,0.7630934961646794,1.3143766740966254,0.22785165670986157
data/伯爵特级初榨混西王玉米胚芽油/第三轮/1：10/0_RM.dat,伯爵特级初榨混西王玉米胚芽油,borges_evoo,corn_germ_oil,3,1:10,9.0909,90.9091,heavy_adulteration,195.54379272460938,5166.5,549.6273193359375,1847888.875,107.91802978515625,1770.1500244140625,34.28268814086914,723.2789916992188,18.52954864501953,433.12701416015625,0.0,0.0,282190.59375,0.171700210893472,0.5404928583309427,0.3176734035215977,0.08864537365505774
data/伯爵特级初榨混西王玉米胚芽油/第三轮/2：9/0_RM.dat,伯爵特级初榨混西王玉米胚芽油,borges_evoo,corn_germ_oil,3,2:9,18.1818,81.8182,heavy_adulteration,223.36053466796875,6891.4501953125,621.486572265625,2110757.0,134.02947998046875,3434.75,65.95039367675781,1508.9100341796875,40.67670440673828,936.4569702148438,0.0,0.0,426025.625,0.30349072539246674,0.6167772703424553,0.4920588604410722,0.12889729527683014
